adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/b4vPyaCEP53fVDBj0HqFukICiyk.jpg,"[28, 53]",1154215,fr,Elyas,"Elyas, a former Special Forces soldier who has become paranoid since a mission in Afghanistan, is recruited to ensure the safety of Amina and her daughter Nour, 13 years old, both of whom came from the Middle East for the holidays. As he takes office, Elyas senses something is up.",104.116,/zuwf11mv6ju9Kf8PtlUjB0OzrBg.jpg,2024-07-03,Elyas,False,6.3,50
False,/puJKgNcWaGgMk5VHanSSomUTpmw.jpg,"[10751, 14, 16, 10749]",11224,en,Cinderella,"Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!",81.247,/4nssBcQUBadCTBjrAkX46mVEKts.jpg,1950-02-22,Cinderella,False,7.038,6722
False,/bv9tOAIACAdQioCs80dKytYV3G7.jpg,"[35, 18]",989662,en,A Different Man,"Aspiring actor Edward undergoes a radical medical procedure to drastically transform his appearance. But his new dream face quickly turns into a nightmare, as he loses out on the role he was born to play and becomes obsessed with reclaiming what was lost.",82.888,/lZZKTEvo92u1J5pm7QoEA5yN3du.jpg,2024-08-24,A Different Man,False,7.0,107
False,/dbrLfmFNFEJWv8rLnjpgCKlXWSy.jpg,"[12, 28, 878]",333339,en,Ready Player One,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.",74.716,/pU1ULUq8D3iRxl1fdX2lZIzdHuI.jpg,2018-03-28,Ready Player One,False,7.595,15673
False,/bIFSejsLLVVLF73JL82HeDqvK2j.jpg,"[27, 878, 53]",827931,en,Time Cut,"A teen in 2024 accidentally time-travels to 2003, days before a masked killer murders her sister. Can she change the past without destroying the future?",84.505,/gzMFMmpJHOmOFKsAhSDac62Dyg2.jpg,2024-10-29,Time Cut,False,5.6,383
False,/zGLHX92Gk96O1DJvLil7ObJTbaL.jpg,"[14, 12]",338953,en,Fantastic Beasts: The Secrets of Dumbledore,"Professor Albus Dumbledore knows the powerful, dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts magizoologist Newt Scamander to lead an intrepid team of wizards and witches. They soon encounter an array of old and new beasts as they clash with Grindelwald's growing legion of followers.",86.36,/3c5GNLB4yRSLBby0trHoA1DSQxQ.jpg,2022-04-06,Fantastic Beasts: The Secrets of Dumbledore,False,6.653,4522
False,/AvIfrjJL9WRk3TziSvOZCTUHKEn.jpg,"[35, 10751, 12]",516729,en,Paddington in Peru,"Paddington travels to Peru to visit his beloved Aunt Lucy, who now resides at the Home for Retired Bears. With the Brown Family in tow, a thrilling adventure ensues when a mystery plunges them into an unexpected journey through the Amazon rainforest and up to the mountain peaks of Peru.",86.192,/1ffZAucqfvQu36x1C49XfOdjuOG.jpg,2024-11-07,Paddington in Peru,False,7.5,36
False,/wh4ze6klUbeichAj603OKZwY1W5.jpg,"[28, 53, 878]",218,en,The Terminator,"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",80.662,/hzXSE66v6KthZ8nPoLZmsi2G05j.jpg,1984-10-26,The Terminator,False,7.662,13277
False,/aX3Od8NVLgM7pMYgRpTPkwSrbSC.jpg,[27],968051,en,The Nun II,"In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.",83.371,/nt5U1MgFcyxCYA6cssNKtnn2FsF.jpg,2023-09-06,The Nun II,False,6.736,2073
False,/x4biAVdPVCghBlsVIzB6NmbghIz.jpg,[37],429,it,"Il buono, il brutto, il cattivo","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",82.563,/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,1966-12-22,"The Good, the Bad and the Ugly",False,8.5,8701
